Ejecución,NodosExpandidos,TiempoMs,Exito
"265","21","0,00","True"
"266","24","0,00","True"
"267","25","0,00","True"
"268","49","0,00","True"
"269","21","0,00","True"
"270","21","0,00","True"
"271","31","0,00","True"
"272","27","0,00","True"
"273","21","0,00","True"
"274","22","0,00","True"
"275","23","0,00","True"
"276","29","0,00","True"
"277","19","0,00","True"
"278","22","0,00","True"
"279","25","0,00","True"
"280","21","0,00","True"
"281","34","0,00","True"
"282","43","0,00","True"
"283","28","0,00","True"
"284","23","0,00","True"
"285","25","0,00","True"
"286","24","0,00","True"
"287","19","0,00","True"
"288","21","0,00","True"
"289","23","0,00","True"
"290","21","0,00","True"
"291","22","0,00","True"
"292","20","0,00","True"
"293","20","0,00","True"
"294","21","0,00","True"
"295","25","0,00","True"
"296","24","0,00","True"
"297","31","0,00","True"
"298","29","0,00","True"
"299","27","0,00","True"
"300","21","0,00","True"
"301","28","0,00","True"
"302","26","0,00","True"
"303","24","0,00","True"
"304","25","0,00","True"
"305","57","0,00","True"
"306","23","0,00","True"
"307","22","0,00","True"
"308","22","0,00","True"
"309","30","0,00","True"
"310","21","0,00","True"
"311","26","0,00","True"
"312","25","0,00","True"
"313","29","0,00","True"
"314","19","0,00","True"
"315","20","0,00","True"
"316","20","0,00","True"
"317","23","0,00","True"
"318","26","0,00","True"
"319","23","0,00","True"
"320","22","0,00","True"
"321","24","0,00","True"
"322","22","0,00","True"
"323","20","0,00","True"
"324","21","0,00","True"
"325","22","0,00","True"
"326","22","0,00","True"
"327","24","0,00","True"
"328","19","0,00","True"
"329","22","0,00","True"
"330","24","0,00","True"
"331","43","0,00","True"
"332","26","0,00","True"
"333","22","0,00","True"
"334","20","0,00","True"
"335","19","0,00","True"
"336","20","0,00","True"
"337","24","0,00","True"
"338","23","0,00","True"
"339","23","0,00","True"
"340","31","0,00","True"
"341","37","0,00","True"
"342","26","0,00","True"
"343","22","0,00","True"
"344","22","0,00","True"
"345","22","0,00","True"
"346","20","0,00","True"
"347","22","0,00","True"
"348","23","0,00","True"
"349","34","0,00","True"
"350","20","0,00","True"
"351","20","0,00","True"
"352","24","0,00","True"
"353","21","0,00","True"
"354","22","0,00","True"
"355","22","0,00","True"
"356","19","0,00","True"
"357","26","0,00","True"
"358","20","0,00","True"
"359","22","0,00","True"
"360","19","0,00","True"
"361","24","0,00","True"
"362","20","0,00","True"
"363","20","0,00","True"
"364","26","0,00","True"
"365","21","0,00","True"
"366","22","0,00","True"
"367","24","0,00","True"
"368","26","0,00","True"
"369","26","0,00","True"
"370","22","0,00","True"
"371","22","0,00","True"
"372","24","0,00","True"
"373","20","0,00","True"
"374","20","0,00","True"
"375","24","0,00","True"
"376","21","0,00","True"
"377","31","0,00","True"
"378","24","0,00","True"
"379","20","0,00","True"
"380","21","0,00","True"
"381","26","0,00","True"
"382","25","0,00","True"
"383","24","0,00","True"
"384","31","0,00","True"
"385","24","0,00","True"
"386","21","0,00","True"
"387","30","0,00","True"
"388","23","0,00","True"
"389","20","0,00","True"
"390","23","0,00","True"
"391","23","0,00","True"
"392","21","0,00","True"
"393","27","0,00","True"
"394","20","0,00","True"
"395","22","0,00","True"
"396","23","0,00","True"
"397","29","0,00","True"
"398","20","0,00","True"
"399","22","0,00","True"
"400","23","0,00","True"
"401","20","0,00","True"
"402","27","0,00","True"
"403","22","0,00","True"
"404","21","0,00","True"
"405","23","0,00","True"
"406","23","0,00","True"
"407","21","0,00","True"
"408","21","0,00","True"
"409","23","0,00","True"
"410","23","0,00","True"
"411","22","0,00","True"
"412","21","0,00","True"
"413","21","0,00","True"
"414","20","0,00","True"
"415","22","0,00","True"
"416","30","0,00","True"
"417","25","0,00","True"
"418","20","0,00","True"
"419","29","0,00","True"
"420","22","0,00","True"
"421","23","0,00","True"
"422","34","0,00","True"
"423","19","0,00","True"
"424","19","0,00","True"
"425","21","0,00","True"
"426","26","0,00","True"
"427","22","0,00","True"
"428","20","0,00","True"
"429","22","0,00","True"
"430","20","0,00","True"
"431","23","0,00","True"
"432","21","0,00","True"
"433","21","0,00","True"
"434","22","0,00","True"
"435","22","0,00","True"
"436","28","0,00","True"
"437","22","0,00","True"
"438","21","0,00","True"
"439","41","0,00","True"
"440","26","0,00","True"
"441","22","0,00","True"
"442","23","0,00","True"
"443","20","0,00","True"
"444","21","0,00","True"
"445","22","0,00","True"
"446","21","0,00","True"
"447","22","0,00","True"
"448","22","0,00","True"
"449","27","0,00","True"
"450","21","0,00","True"
"451","21","0,00","True"
"452","20","0,00","True"
"453","20","0,00","True"
"454","20","0,00","True"
"455","20","0,00","True"
"456","35","0,00","True"
"457","21","0,00","True"
"458","22","0,00","True"
"459","19","0,00","True"
"460","22","0,00","True"
"461","21","0,00","True"
"462","22","0,00","True"
"463","19","0,00","True"
"464","24","0,00","True"
"465","26","0,00","True"
"466","22","0,00","True"
"467","22","0,00","True"
"468","21","0,00","True"
"469","26","0,00","True"
"470","53","0,00","True"
"471","21","0,00","True"
"472","20","0,00","True"
"473","22","0,00","True"
"474","22","0,00","True"
"475","22","0,00","True"
"476","21","0,00","True"
"477","23","0,00","True"
"478","22","0,00","True"
"479","20","0,00","True"
"480","22","0,00","True"
"481","29","0,00","True"
"482","21","0,00","True"
"483","19","0,00","True"
"484","23","0,00","True"
"485","25","0,00","True"
"486","23","0,00","True"
"487","24","0,00","True"
"488","26","0,00","True"
"489","20","0,00","True"
"490","24","0,00","True"
"491","20","0,00","True"
"492","22","0,00","True"
"493","26","0,00","True"
"494","39","0,00","True"
"495","20","0,00","True"
"496","22","0,00","True"
"497","33","0,00","True"
"498","20","0,00","True"
"499","21","0,00","True"
"500","20","0,03","True"
