Ejecución,NodosExpandidos,TiempoMs,Exito
"265","20","0,00","True"
"266","23","0,00","True"
"267","19","0,00","True"
"268","23","0,00","True"
"269","25","0,00","True"
"270","23","0,00","True"
"271","50","0,01","True"
"272","29","0,00","True"
"273","27","0,00","True"
"274","21","0,00","True"
"275","21","0,00","True"
"276","22","0,00","True"
"277","21","0,00","True"
"278","28","0,00","True"
"279","24","0,00","True"
"280","25","0,00","True"
"281","21","0,00","True"
"282","23","0,00","True"
"283","30","0,00","True"
"284","19","0,00","True"
"285","22","0,00","True"
"286","22","0,00","True"
"287","22","0,00","True"
"288","20","0,00","True"
"289","24","0,00","True"
"290","24","0,00","True"
"291","24","0,00","True"
"292","22","0,00","True"
"293","23","0,00","True"
"294","27","0,00","True"
"295","26","0,00","True"
"296","45","0,00","True"
"297","21","0,00","True"
"298","22","0,00","True"
"299","24","0,00","True"
"300","24","0,00","True"
"301","20","0,00","True"
"302","19","0,00","True"
"303","20","0,00","True"
"304","20","0,00","True"
"305","20","0,00","True"
"306","20","0,00","True"
"307","24","0,00","True"
"308","21","0,00","True"
"309","21","0,00","True"
"310","28","0,00","True"
"311","22","0,00","True"
"312","22","0,00","True"
"313","21","0,00","True"
"314","19","0,00","True"
"315","24","0,00","True"
"316","23","0,00","True"
"317","33","0,00","True"
"318","21","0,00","True"
"319","21","0,00","True"
"320","21","0,00","True"
"321","22","0,00","True"
"322","24","0,00","True"
"323","21","0,00","True"
"324","23","0,00","True"
"325","22","0,00","True"
"326","19","0,00","True"
"327","26","0,00","True"
"328","22","0,00","True"
"329","39","0,00","True"
"330","21","0,00","True"
"331","22","0,00","True"
"332","24","0,00","True"
"333","19","0,00","True"
"334","42","0,00","True"
"335","21","0,00","True"
"336","29","0,00","True"
"337","20","0,00","True"
"338","26","0,00","True"
"339","32","0,00","True"
"340","20","0,00","True"
"341","24","0,00","True"
"342","22","0,00","True"
"343","24","0,00","True"
"344","20","0,00","True"
"345","20","0,00","True"
"346","19","0,00","True"
"347","32","0,00","True"
"348","20","0,00","True"
"349","22","0,00","True"
"350","22","0,00","True"
"351","20","0,00","True"
"352","28","0,00","True"
"353","31","0,00","True"
"354","22","0,00","True"
"355","22","0,00","True"
"356","24","0,00","True"
"357","25","0,00","True"
"358","24","0,01","True"
"359","23","0,00","True"
"360","41","0,00","True"
"361","20","0,00","True"
"362","23","0,00","True"
"363","20","0,00","True"
"364","23","0,00","True"
"365","22","0,00","True"
"366","22","0,00","True"
"367","20","0,00","True"
"368","24","0,00","True"
"369","20","0,00","True"
"370","24","0,00","True"
"371","22","0,00","True"
"372","23","0,00","True"
"373","23","0,00","True"
"374","21","0,00","True"
"375","21","0,00","True"
"376","21","0,00","True"
"377","25","0,00","True"
"378","24","0,00","True"
"379","20","0,00","True"
"380","21","0,00","True"
"381","20","0,00","True"
"382","20","0,00","True"
"383","21","0,00","True"
"384","20","0,00","True"
"385","21","0,00","True"
